Date,Alteraciones de la respiración (count),Análisis del Sueño [Total] (hr),Análisis del Sueño [Asleep] (hr),Análisis del Sueño [In Bed] (hr),Análisis del Sueño [Core] (hr),Análisis del Sueño [Deep] (hr),Análisis del Sueño [REM] (hr),Análisis del Sueño [Awake] (hr),Frecuencia Cardíaca [Min] (count/min),Frecuencia Cardíaca [Max] (count/min),Frecuencia Cardíaca [Avg] (count/min),Frecuencia respiratoria (count/min),Hora de Estar de Pie de Apple (count),Minutos Conscientes (min),Promedio de Frecuencia Cardíaca al Caminar (count/min),Temperatura de Muñeca Mientras Duerme de Apple (degC),Tiempo de Ejercicio de Apple (min),Tiempo de Movimiento de Apple (min),Tiempo en Luz de Día (min),Variabilidad de Frecuencia Cardíaca (ms) 
2024-08-19 00:00:00,,6.425000000000001,0.0,6.425000000000001,4.666666666666667,0.7666666666666666,0.9916666666666667,0.3083333333333334,46,136,46,15.16,12,,,,34,,105,97.72,
2024-08-20 00:00:00,,,,,,,,,50,164,50,,11,,85.5,,36,,153,40.25,
2024-08-21 00:00:00,,6.749999999999999,0.0,6.75,4.424999999999999,0.6416666666666667,1.6833333333333333,0.27499999999999997,49.9,127,49.9,15.02,16,,,,88,,145,91.77,
2024-08-22 00:00:00,,,,,,,,,54,117,54,,10,,102.5,,17,,,77.89,
2024-08-23 00:00:00,,6.3500000000000005,0.0,6.3500000000000005,4.558333333333334,0.7416666666666667,1.0499999999999998,4.216666666666667,40,197,40,16.46,19,,98,,161,,229,63,
2024-08-24 00:00:00,,3.925,0.0,3.925,2.158333333333333,1.05,0.7166666666666667,0.05,57,150,57,13.92,14,,,,45,,,,
2024-08-25 00:00:00,,10.691666666666665,0.0,10.691666666666666,6.983333333333332,1.0083333333333333,2.6999999999999993,0.8750000000000001,42,123,42,14.13,11,,92,,5,,230,87.07,
2024-08-26 00:00:00,,6.375000000000001,0.0,6.375,4.408333333333334,0.9833333333333333,0.9833333333333333,0.06666666666666667,45,143,45,14.47,16,1,121,,71,,39,76.59,
2024-08-27 00:00:00,,6.608333333333334,0.0,6.6083333333333325,5.133333333333334,0.43333333333333335,1.0416666666666665,0.20833333333333331,45,131,45,14.43,16,,92,,23,,80,87.07,
2024-08-28 00:00:00,,7.574999999999999,0.0,7.574999999999998,5.324999999999999,0.8999999999999999,1.35,1.4833333333333334,43,142,43,14.66,14,,103,,56,,210,74.35,
2024-08-29 00:00:00,,10.216666666666667,0.0,10.216666666666665,6.833333333333333,0.8416666666666666,2.5416666666666665,0.675,45,174,45,15.5,13,,121,,89,,238,82.42,
2024-08-30 00:00:00,,,,,,,,,61.97,134,61.97,16.21,12,,96,,13,,12,66.29,
2024-08-31 00:00:00,,7.6416666666666675,0.0,7.6416666666666675,7.091666666666668,0.26666666666666666,0.2833333333333333,1.766666666666667,46,163,46,19.54,9,,,,26,,175,73.42,
2024-09-01 00:00:00,,9.666666666666666,0.0,9.666666666666666,6.258333333333334,1.4249999999999998,1.9833333333333332,0.6416666666666667,45,145,45,17.5,10,,107,,6,,58,96.58,
2024-09-02 00:00:00,,6.208333333333334,0.0,6.208333333333334,5.816666666666667,0.31666666666666665,0.075,1.2083333333333335,49,146,49,18.66,16,,99,,18,,93,85.65,
2024-09-03 00:00:00,,6.3916666666666675,0.0,6.391666666666667,4.950000000000001,0.2833333333333333,1.1583333333333332,1.0333333333333334,50,145,50,15.94,17,,100,,19,,66,81.27,
2024-09-04 00:00:00,,5.291666666666667,0.0,5.291666666666667,4.141666666666667,0.15,1.0,0.9083333333333333,44,131,44,14.49,13,,96,,10,,26,89.07,
2024-09-05 00:00:00,,5.833333333333333,0.0,5.833333333333332,4.066666666666666,0.6583333333333333,1.1083333333333334,0.34166666666666673,46,125,46,14.05,12,,79.5,,18,,34,103.4,
2024-09-06 00:00:00,,4.091666666666667,0.0,4.091666666666667,2.691666666666667,0.6833333333333333,0.7166666666666667,0.075,63,139,63,13.69,10,,,,21,,,,
2024-09-07 00:00:00,,,,,,,,,40,137,40,,3,,103,,7,,,25.63,
